DIRECTORIO,SECUENCIA_P,ORDEN,AREA,REGIS,P6230,P6240,P6240S1,P6250,P6260,P6270,P6280,P6290,P6290S1,P6300,P6310,P6310S1,P6320,P6330,P6340,P6350,P6351,DPTO,fex_c_2011
636090,1,1,5,50,1,4,,2,2,2,2,,,2,,,,,,,,5,771.196.458.547.473
636092,1,1,5,50,2,1,,,,,,,,,,,,,,,,5,730.787.704.198.798
636092,1,2,5,50,2,4,,2,2,2,2,,,2,,,,,,,,5,730.787.704.198.798
636094,1,1,5,50,1,6,CAMINAR Y VER TELEVISION,2,2,2,2,,,2,,,,,,,,5,831.576.289.614.753
636094,1,2,5,50,2,4,,2,2,2,2,,,2,,,,,,,,5,831.576.289.614.753
636095,1,1,5,50,1,1,,,,,,,,,,,,,,,,5,826.888.476.521.864
636095,1,2,5,50,2,4,,2,2,2,2,,,2,,,,,,,,5,826.888.476.521.864
636095,1,3,5,50,2,3,,2,2,2,2,,,2,,,,,,,,5,826.888.476.521.864
636096,1,1,5,50,1,1,,,,,,,,,,,,,,,,5,801.382.010.527.133
636096,1,2,5,50,2,1,,,,,,,,,,,,,,,,5,801.382.010.527.133
636098,1,1,5,50,1,1,,,,,,,,,,,,,,,,5,743.849.355.838.023
636098,1,2,5,50,2,4,,2,2,2,2,,,2,,,,,,,,5,743.849.355.838.023
636098,1,3,5,50,1,6,JUGAR BILLAR,2,2,2,2,,,1,9,,,,,,,5,743.849.355.838.023
636100,1,1,5,50,1,4,,2,2,2,2,,,2,,,,,,,,5,67.450.784.699.617
636100,1,2,5,50,2,1,,,,,,,,,,,,,,,,5,67.450.784.699.617
636100,1,3,5,50,3,1,,,,,,,,,,,,,,,,5,67.450.784.699.617
636100,1,4,5,50,4,2,,2,2,2,1,1,,,,,,,,,1,5,67.450.784.699.617
636101,1,1,5,50,1,1,,,,,,,,,,,,,,,,5,76.663.674.803.977
636101,1,2,5,50,2,1,,,,,,,,,,,,,,,,5,76.663.674.803.977
636102,1,1,5,50,1,4,,2,2,2,2,,,2,,,,,,,,5,701.087.689.588.612
636103,1,1,5,50,1,1,,,,,,,,,,,,,,,,5,725.712.050.369.665
636103,1,2,5,50,2,1,,,,,,,,,,,,,,,,5,725.712.050.369.665
636103,1,3,5,50,1,6,DEPORTE,2,2,2,1,2,,,,,,,,,1,5,725.712.050.369.665
636104,1,1,5,50,1,2,,2,2,2,1,2,,,,,,,,,1,5,763.929.513.027.738
636104,1,2,5,50,2,4,,2,2,2,2,,,2,,,,,,,,5,763.929.513.027.738
636104,1,3,5,50,2,1,,,,,,,,,,,,,,,,5,763.929.513.027.738
636104,1,5,5,50,5,1,,,,,,,,,,,,,,,,5,763.929.513.027.738
636106,1,1,5,50,1,4,,2,2,2,2,,,2,,,,,,,,5,72.174.844.503.426
636106,1,2,5,50,2,1,,,,,,,,,,,,,,,,5,72.174.844.503.426
636106,1,3,5,50,3,3,,2,2,2,2,,,2,,,,,,,,5,72.174.844.503.426
