DIRECTORIO;SECUENCIA_P;ORDEN;AREA;REGIS;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6290;P6290S1;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;DPTO;fex_c_2011
611992;1;1;5;50;1;6;DESCANSAR;2;2;2;2;;;2;;;;;;;;5;880.321.363.552.371
611995;1;1;5;50;1;6;VISITAR FAMILIARES;2;2;2;2;;;2;;;;;;;;5;72.302.120.164.218
611995;1;2;5;50;2;1;;;;;;;;;;;;;;;;5;72.302.120.164.218
611995;1;3;5;50;3;1;;;;;;;;;;;;;;;;5;72.302.120.164.218
611997;1;1;5;50;1;1;;;;;;;;;;;;;;;;5;748.480.898.177.083
611997;1;2;5;50;2;6;HACER DILIGENCIAS CON SU ESPOSO;2;2;2;2;;;2;;;;;;;;5;748.480.898.177.083
611997;1;3;5;50;3;1;;;;;;;;;;;;;;;;5;748.480.898.177.083
611998;1;1;5;50;1;4;;2;2;2;2;;;2;;;;;;;;5;650.071.271.828.573
611998;1;2;5;50;2;1;;;;;;;;;;;;;;;;5;650.071.271.828.573
611999;1;1;5;50;1;4;;2;2;2;2;;;2;;;;;;;;5;818.924.389.429.445
611999;1;2;5;50;2;1;;;;;;;;;;;;;;;;5;818.924.389.429.445
612000;1;1;5;50;1;6;DESCANSAR;2;2;2;2;;;2;;;;;;;;5;736.927.942.486.402
612001;1;1;5;50;1;1;;;;;;;;;;;;;;;;5;715.400.382.362.216
612001;1;2;5;50;2;1;;;;;;;;;;;;;;;;5;715.400.382.362.216
612001;1;3;5;50;1;3;;2;2;2;2;;;2;;;;;;;;5;715.400.382.362.216
612001;1;5;5;50;5;1;;;;;;;;;;;;;;;;5;715.400.382.362.216
612002;1;1;5;50;1;6;DESCANSAR Y VER TV;2;2;2;2;;;2;;;;;;;;5;818.924.389.429.445
612002;1;2;5;50;2;4;;2;2;2;2;;;2;;;;;;;;5;818.924.389.429.445
612004;1;1;13;50;1;4;;2;2;2;2;;;2;;;;;;;;13;350.369.675.761.602
612004;1;2;13;50;2;1;;;;;;;;;;;;;;;;13;350.369.675.761.602
612004;1;3;13;50;3;2;;2;2;2;1;2;;;;;;;;;1;13;350.369.675.761.602
612004;1;4;13;50;4;2;;2;2;2;1;2;;;;;;;;;1;13;350.369.675.761.602
612005;1;1;13;50;1;4;;1;;;;;;;;;;;;;;13;432.372.198.160.853
612005;1;2;13;50;2;3;;2;2;2;2;;;2;;;;;;;;13;432.372.198.160.853
612006;1;1;13;50;1;4;;2;2;2;2;;;2;;;;;;;;13;620.367.035.786.091
612006;1;2;13;50;2;2;;2;2;2;1;1;;;;;;;;;1;13;620.367.035.786.091
612006;1;3;13;50;3;4;;2;2;2;1;2;;;;;;;;;1;13;620.367.035.786.091
612008;1;1;13;50;1;4;;1;;;;;;;;;;;;;;13;277.136.113.523.913
612008;1;2;13;50;1;3;;2;2;2;2;;;2;;;;;;;;13;277.136.113.523.913
612008;1;3;13;50;1;3;;2;2;2;2;;;2;;;;;;;;13;277.136.113.523.913
612008;1;4;13;50;4;4;;2;2;2;1;1;;;;;;;;;1;13;277.136.113.523.913
612008;1;5;13;50;5;1;;;;;;;;;;;;;;;;13;277.136.113.523.913
612009;1;1;13;50;1;6;PENSIONADO;2;2;2;2;;;2;;;;;;;;13;320.094.964.834.771
612009;1;2;13;50;2;1;;;;;;;;;;;;;;;;13;320.094.964.834.771
612009;1;3;13;50;3;2;;1;;;;;;;;;;;;;;13;320.094.964.834.771
612009;1;4;13;50;1;3;;2;2;2;2;;;2;;;;;;;;13;320.094.964.834.771
612009;1;5;13;50;1;3;;2;2;2;2;;;2;;;;;;;;13;320.094.964.834.771
612010;1;1;13;50;1;4;;2;2;2;2;;;2;;;;;;;;13;285.635.611.417.859
612010;1;2;13;50;2;1;;;;;;;;;;;;;;;;13;285.635.611.417.859
612010;1;3;13;50;3;2;;2;2;2;1;2;;;;;;;;;1;13;285.635.611.417.859
612010;1;4;13;50;1;3;;2;2;2;2;;;2;;;;;;;;13;285.635.611.417.859
612010;1;6;13;50;1;5;;;;;;;;;;;;;;;;13;285.635.611.417.859
612011;1;1;13;50;1;6;PENSIONADO;2;2;2;2;;;2;;;;;;;;13;266.283.261.165.175
612011;1;2;13;50;2;4;;2;2;2;2;;;2;;;;;;;;13;266.283.261.165.175
612012;1;1;13;50;1;1;;;;;;;;;;;;;;;;13;321.867.567.220.217
612012;1;2;13;50;2;4;;2;2;2;1;2;;;;;;;;;1;13;321.867.567.220.217
612013;1;1;13;50;1;4;;2;2;2;2;;;2;;;;;;;;13;302.783.689.604.676
612014;1;1;13;50;1;4;;2;2;2;2;;;2;;;;;;;;13;212.482.357.467.632
612014;1;2;13;50;2;1;;;;;;;;;;;;;;;;13;212.482.357.467.632
612014;1;3;13;50;1;3;;2;2;2;2;;;2;;;;;;;;13;212.482.357.467.632
612015;1;1;13;50;1;4;;1;;;;;;;;;;;;;;13;171.029.215.538.699
612015;1;2;13;50;2;1;;;;;;;;;;;;;;;;13;171.029.215.538.699
612015;1;3;13;50;3;4;;2;2;2;2;;;2;;;;;;;;13;171.029.215.538.699
612015;1;6;13;50;3;5;;;;;;;;;;;;;;;;13;171.029.215.538.699
612016;1;1;13;50;1;1;;;;;;;;;;;;;;;;13;254.396.265.107.107
612016;1;2;13;50;2;4;;2;2;2;2;;;2;;;;;;;;13;254.396.265.107.107
612016;1;3;13;50;3;3;;2;2;2;2;;;2;;;;;;;;13;254.396.265.107.107
612016;1;4;13;50;1;3;;2;2;2;2;;;2;;;;;;;;13;254.396.265.107.107
612018;1;1;13;50;1;6;PENSIONADO;2;2;2;2;;;2;;;;;;;;13;529.860.174.935.549
612018;1;2;13;50;2;4;;1;;;;;;;;;;;;;;13;529.860.174.935.549
612018;1;3;13;50;3;3;;2;2;2;2;;;2;;;;;;;;13;529.860.174.935.549
612019;1;1;13;50;1;1;;;;;;;;;;;;;;;;13;626.719.609.302.402
612019;1;2;13;50;2;3;;1;;;;;;;;;;;;;;13;626.719.609.302.402
612020;1;1;13;50;1;4;;2;2;2;2;;;2;;;;;;;;13;637.369.476.122.885
612020;1;2;13;50;2;1;;;;;;;;;;;;;;;;13;637.369.476.122.885
612020;1;3;13;50;3;2;;2;2;2;1;1;;;;;;;;;1;13;637.369.476.122.885
612021;1;1;13;50;1;1;;;;;;;;;;;;;;;;13;222.999.884.160.394
612021;1;2;13;50;2;4;;1;;;;;;;;;;;;;;13;222.999.884.160.394
612021;1;3;13;50;3;3;;1;;;;;;;;;;;;;;13;222.999.884.160.394
612021;1;4;13;50;4;1;;;;;;;;;;;;;;;;13;222.999.884.160.394
612021;1;5;13;50;2;3;;2;2;2;2;;;2;;;;;;;;13;222.999.884.160.394
612021;1;6;13;50;6;4;;2;2;2;2;;;2;;;;;;;;13;222.999.884.160.394
612022;1;1;13;50;1;4;;2;2;2;2;;;2;;;;;;;;13;336.099.653.068.008
612022;1;2;13;50;2;1;;;;;;;;;;;;;;;;13;336.099.653.068.008
612022;1;5;13;50;5;3;;2;2;2;2;;;2;;;;;;;;13;336.099.653.068.008
